l,h
140,76
170,76
140,76
140,76
125,55
125,55
120,55
120,55
120,55
120,55
184,18
275,76
275,76
210,76
169,55
236,38
276,38
276,38
186,38
253,38
253,38
254,38
254,38
264,14
269,20
269,20
247,38
247,38
196,38
220,38
255,38
157,38
106,34
253,55
254,55
291,85
257,96
257,96
443,76
443,76
299,76
299,76
436,76
436,76
409,76
409,76
187,76
187,76
197,55
197,55
120,55
157,76
240,55
240,55
210,20
214,14
214,38
177,20
165,14
120,55
170,55
170,55
170,55
126,55
126,55
120.8,55
211,96
211,96
120,55
120,55
120,55
120,55
120,55
120,55
120,55
120,55
120,55
120,55
169,55
194,38
299,38
299,38
270,38
267,38
267,38
220,26
200,76
200,76
200,76
195,76
210,76
210,76
261,38
248,38
248,38
120,55
120,55
120,55
120,55
125,55
125,55
125,55
125,55
294,55
293,55
120,55
120,55
275,76
275,76
175,38
205,38
150,30
200,24
120,55
120,55
120,55
120,55
140,24
170,55
170,55
111,76
111,76
239,38
206,38
206,38
206,38
206,38
210,76
211,96
211,96
211,96
154,38
106,28
120,55
179,38
179,18
120,55
120,55
210,76
210,76
210,76
120,55
160,55
145,55
145,55
120,55
120,55
120,55
125,55
120,55
120,55
152,38
218,55
201,76
201,76
195,76
210,76
210,76
210,76
210,96
210,96
120,55
120,55
120,55
120,55
120,55
120,55
193,18
190,38
185,76
223,76
185,76
177,14
161.7,38
200,76
198,76
284,26
279,34
430,76
430,76
430,76
430,76
229,76
406,76
406,76
212,96
212,96
406,76
406,76
408,76
170,76
397,76
397,76
360,38
360,38
236,38
435,76
225,76
420,76
420,76
303,76
303,76
422,76
422,76
420,76
420,76
336,76
336,76
318,76
318,76
300,76
300,76
348,76
348,76
430,76
430,76
305,76
305,76
250,76
250,76
216,55
219,96
219,96
218,96
218,96
100,96
100,96
102,96
102,96
100,38
317,38
314,38
314,38
150,76
121,38
123,38
142,38
340,76
340,76
340,76
340,76
451,38
150,38
414,76
414,76
432,76
432,76
384,76
384,76
154,38
154,38
269,32
129,32
342,38
342,38
100,38
272,38
264,38
264,38
232,38
230,38
100,38
324,38
326,38
326,38
117,38
100,38
100,38
121,38
75,18
289,76
280,76
167,38
167,38
178,76
178,76
150,76
150,76
150,76
150,76
218,38
275,38
275,38
153,38
153,38
100,38
220,55
220,55
223,76
101,38
280,24
330,38
330,38
310,38
100,38
150,76
150,76
150,76
323,38
291,55
291,55
320,38
126,38
125,38
431,12
405,38
405,38
100,38
155,38
155,38
155,38
155,38
193,34
157,34
53,26
160,76
150,76
150,76
150,76
179,26
185,26
140,38
141,38
205,34
202,34
161,34
151,38
145,38
110,20
234,38
220,76
283,76
284,76
284,76
145,55
123,18
153,18
136,18
118,32
147,34
120,22
111,38
120,38
140,38
140,38
174,28
220,30
95,55
345,76
408,38
408,38
122,55
123,55
216,55
218,38
162,34
162,34
283.5,30
270,55
270,55
248,38
248,38
145,55
181,34
200,34
162,55
162,55
147,26
150,26
101,26
197,26
240,55
111,38
232,76
236,76
236,76
166,38
299,76
129,76
354,76
354,76
276,76
276,76
204,55
204,55
184,55
184,55
120,55
195,34
207,34
184,38
184,38
140,38
130,34
117,34
145,55
425,55
303,76
298,76
295,55
294,55
182,55
175,55
172,55
175,55
172,55
103,55
207,34
134,38
190,76
190,76
150,76
222,38
222,38
128,38
116,20
117,20
182,34
151,34
257,38
310,38
148,34
158,34
107,34
142,34
62,34
254,34
254,34
60,34
145,55
334,38
265,38
265,38
171,34
168,34
196,20
188,34
192,34
191,34
230,34
204,34
303,38
251,38
190,38
245,34
241,34
253,34
140,34
135.6,34
131,34
140,55
190,34
219,34
238,34
147,34
165,55
241,55
230,76
233,76
406,76
407,76
301,34
235,34
117,38
159.5,16
214,34
180,34
166,34
210,55
154,55
210,55
280,55
280,55
280,55
324,38
211,38
85,30
213,38
215,38
150,55
150,55
150,55
150,55
225,76
221,76
221,76
91,38
183,34
183,34
224,76
220,76
242,38
216,38
179,38
178,38
91,55
91,38
87,18
131,18
211,34
211,76
242,34
243,34
149.5,38
160,55
160,55
177,34
140,55
192,34
197,34
90,55
90,55
90,55
149,34
148,34
137.5,34
181,34
195,34
185,38
195,22
142,34
202,34
244,76
242,55
252,38
90,34
95,34
140,20
159,20
123,34
118,20
150,20
145,34
125,30
193,76
131,76
187,34
169,34
170,55
170,55
280,55
280,55
280,55
144,34
117,38
101,30
120,55
120,55
120,55
120,55
120,55
130,55
135,55
120,34
103,38
220,38
120,55
120,55
120,55
120,55
106,38
160,55
160,55
145,55
60,55
150,55
150,55
120,55
120,55
120,55
210,38
234,38
234,38
120,55
170,76
170,76
134,55
153,55
147,55
120,38
120,55
149,20
120,55
160,55
160,55
150,38
