region,sex,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0114 Upplands Väsby,men,845,600,777,1176,1307,867,657,591,395,154,186,157,74,85,77,536,239,355,210,121,137,172,-58,-22,-20,-31,241,90,-73,218,196,215,-38,-50,-20,36,38,152,194,88,209,303,453,228,426,195
0114 Upplands Väsby,women,760,597,812,1151,1268,960,803,647,468,115,234,204,82,-38,200,500,196,375,171,150,122,238,-21,22,-100,115,188,48,30,199,131,245,-14,-30,-27,84,69,72,13,105,184,345,452,301,300,172
0115 Vallentuna,men,407,238,319,239,253,117,150,339,267,431,126,209,325,287,76,90,137,171,251,208,418,251,95,132,179,106,64,78,111,161,202,313,169,140,196,318,218,258,310,251,203,378,321,259,194,149
0115 Vallentuna,women,436,250,369,228,287,81,132,337,284,364,124,236,298,280,118,112,185,230,180,272,377,317,154,150,165,142,84,149,106,184,192,275,246,122,205,265,290,213,204,321,204,375,280,241,207,204
0117 Österåker,men,505,482,637,855,660,641,814,607,335,250,108,173,-390,148,146,249,268,280,370,397,367,585,256,263,160,184,11,252,178,129,210,272,295,239,316,378,187,229,120,252,245,215,139,289,154,316
0117 Österåker,women,419,526,634,872,621,688,715,614,362,341,61,116,-458,108,70,306,246,277,393,321,418,498,314,245,132,220,125,263,231,203,255,294,386,286,234,306,282,314,287,182,208,133,132,188,72,369
0120 Värmdö,men,433,517,271,284,333,434,329,295,128,237,142,119,93,51,100,117,245,199,322,266,300,445,450,669,373,333,329,301,551,497,464,435,417,277,206,442,462,438,600,232,195,284,201,312,207,411
0120 Värmdö,women,362,416,214,261,289,466,287,232,200,158,165,120,154,121,135,102,209,210,265,225,250,412,547,658,429,423,270,469,509,521,459,506,419,291,264,453,442,432,467,274,185,261,392,181,190,346
0123 Järfälla,men,1207,1432,788,442,141,-152,-302,70,263,21,67,390,403,274,291,149,103,183,82,-83,-15,-23,176,269,51,251,193,162,96,283,154,94,348,55,52,107,103,365,612,429,415,567,588,466,484,857
0123 Järfälla,women,1169,1339,909,618,193,-186,-163,77,268,59,68,489,476,349,305,208,141,202,76,-78,-1,-4,158,374,251,307,286,118,72,433,195,189,313,103,131,-16,76,234,473,499,525,349,521,424,473,677
0125 Ekerö,men,534,703,417,231,229,129,159,214,44,68,118,-18,153,33,25,30,62,241,193,247,258,216,208,379,193,107,92,97,48,53,290,163,139,186,201,129,243,165,173,45,144,177,180,226,144,201
0125 Ekerö,women,503,677,442,228,285,183,184,194,73,47,75,31,110,-4,105,-4,97,193,248,229,183,243,229,393,172,171,137,110,138,55,286,160,221,124,174,154,173,126,213,47,172,138,177,167,51,142
0126 Huddinge,men,996,409,-21,657,1440,910,502,798,330,314,413,279,673,260,356,160,339,599,73,-51,629,320,131,333,308,442,439,731,556,628,702,796,645,383,401,249,530,750,999,1208,839,975,940,1061,784,791
0126 Huddinge,women,1013,384,213,840,1715,1042,546,691,389,201,326,253,609,405,302,246,289,760,269,62,557,402,159,378,399,400,566,758,674,608,829,869,520,374,263,311,539,682,646,1174,750,680,656,900,763,837
0127 Botkyrka,men,1049,1408,3531,4720,3702,1917,1430,588,972,837,1086,381,29,342,-370,324,110,294,183,395,52,193,179,402,-212,-130,178,602,38,113,603,443,597,546,81,221,392,566,824,603,653,804,1186,799,755,660
0127 Botkyrka,women,1016,1387,3554,4769,3582,1999,1409,583,1071,935,1015,464,209,264,-265,176,289,337,396,236,36,94,119,403,-208,100,127,598,40,58,601,501,457,519,135,177,370,395,654,421,487,609,883,798,551,661
0128 Salem,men,1149,1599,402,-25,-159,-85,124,33,77,15,14,-64,23,-70,-107,-44,7,-12,-37,71,13,67,118,19,85,-99,79,-14,41,76,108,164,45,36,60,42,95,197,180,42,81,61,126,98,69,92
0128 Salem,women,1131,1657,434,88,-123,-111,207,49,118,0,-35,-31,3,-60,-198,-20,-43,-11,-32,-2,12,39,111,82,70,-117,45,70,79,53,190,128,28,0,122,28,112,184,170,70,55,17,177,89,51,47
0136 Haninge,men,1755,1584,1643,527,117,276,-52,162,1374,1415,744,480,319,151,151,291,356,18,58,76,263,310,411,206,-138,375,430,139,327,457,361,483,403,212,289,-25,194,671,401,724,633,400,728,588,846,803
0136 Haninge,women,1620,1494,1682,705,199,261,-64,260,1307,1315,752,437,448,206,21,332,350,-12,71,174,364,309,387,359,-74,353,600,260,270,605,485,551,385,258,186,3,288,448,341,546,636,417,544,516,656,672
0138 Tyresö,men,1141,727,424,320,29,84,146,435,359,145,23,-107,66,67,218,105,79,210,226,253,127,93,155,239,176,341,326,234,204,234,249,259,139,122,208,287,301,120,320,155,168,187,184,221,266,563
0138 Tyresö,women,1214,662,485,415,27,119,205,262,448,219,30,-119,-12,233,122,181,41,193,322,202,121,65,196,242,145,456,378,268,249,230,285,232,224,164,169,221,228,222,251,130,102,158,197,215,251,546
0139 Upplands-Bro,men,857,1329,676,209,229,364,410,423,512,559,203,192,307,10,40,104,91,-8,99,48,-53,99,57,-2,-203,16,37,62,61,70,104,128,105,2,43,-4,-54,114,346,244,286,253,186,206,143,304
0139 Upplands-Bro,women,752,1166,702,242,220,398,406,415,509,602,195,87,414,51,116,122,143,-36,79,21,-1,56,32,-43,-184,46,78,117,101,59,129,22,93,84,47,100,33,197,237,217,234,221,122,163,207,280
0140 Nykvarn,men,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3908,94,96,39,32,42,19,15,147,139,65,96,63,-5,56,57,152
0140 Nykvarn,women,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3816,58,80,-1,82,23,40,11,108,178,44,96,41,5,55,24,140
0160 Täby,men,680,454,-79,-17,420,489,428,607,832,400,529,488,407,569,894,951,725,392,290,355,125,97,99,280,329,303,106,282,167,239,0,-68,-18,-45,-20,85,117,189,328,266,474,355,443,420,476,508
0160 Täby,women,700,599,121,3,515,502,519,599,890,522,456,475,390,555,867,1033,689,516,278,323,89,64,61,168,341,391,41,330,202,221,26,-35,50,14,-10,169,55,223,299,367,274,420,326,386,452,534
0162 Danderyd,men,-59,-196,-150,223,-49,-123,-127,-31,182,8,111,22,-41,157,102,77,141,-33,71,-157,-162,-145,16,-5,212,181,18,109,245,186,32,-71,94,127,-26,118,102,126,124,9,124,139,202,92,156,128
0162 Danderyd,women,47,-236,-197,264,-68,-163,-65,-24,160,59,89,98,-39,169,82,135,81,-28,76,-110,-145,-158,-111,-6,224,209,31,88,214,113,-35,5,-32,-4,155,98,24,140,173,53,175,41,267,69,106,-55
0163 Sollentuna,men,421,654,487,440,722,637,372,515,352,193,27,-1,146,251,-32,451,335,634,122,264,181,378,201,323,274,378,342,503,422,411,237,205,140,188,178,30,212,588,470,449,662,642,618,558,562,614
0163 Sollentuna,women,485,659,535,516,766,689,526,657,309,247,151,5,77,291,146,389,290,578,211,221,183,393,212,322,359,451,314,420,396,362,306,233,78,61,191,-17,246,585,389,261,588,641,643,410,724,566
0180 Stockholm,men,-3256,-3820,-8149,-12862,-10851,-5031,-3076,-1805,-1299,-2000,-1985,-863,142,1275,617,1299,2407,1959,1935,1782,1939,1649,3063,3090,4947,6311,4330,4316,4904,4964,4638,4272,3048,2266,2199,2093,3422,6784,7110,7791,10138,8975,9272,8900,8643,7743
0180 Stockholm,women,-3313,-3629,-8389,-13208,-10135,-5061,-2948,-2139,-1524,-2506,-2560,-1307,-241,1296,649,1204,3168,2228,1658,893,763,616,1849,2122,3431,4362,3162,3027,3973,3810,2952,2373,1552,934,1374,1230,2572,5063,5168,7166,9159,8681,7979,8011,7822,6546
0181 Södertälje,men,2344,1525,288,419,13,-112,-64,52,-67,398,440,375,102,-390,-227,-38,164,174,144,168,474,140,-141,31,-218,132,153,174,147,-3619,444,645,500,354,236,160,147,650,1086,560,285,560,703,987,885,604
0181 Södertälje,women,1964,1253,635,565,146,120,-66,52,97,341,388,274,188,-153,-12,-86,171,65,116,229,326,186,25,69,-63,269,312,60,250,-3531,344,613,412,465,200,196,1,588,765,551,232,416,736,801,714,559
0182 Nacka,men,1228,1599,1004,789,403,692,484,236,-75,155,360,140,335,80,82,176,314,318,411,326,568,455,580,453,595,865,468,528,463,387,448,442,409,487,409,659,768,1128,905,700,1268,995,795,620,843,948
0182 Nacka,women,1323,1651,1086,999,363,736,730,225,-26,91,538,264,555,200,56,296,365,309,358,521,615,487,588,421,628,935,583,513,554,412,499,556,358,396,437,586,764,1046,977,658,1156,1028,713,637,707,846
0183 Sundbyberg,men,-387,312,-136,529,-156,-303,-472,-275,-251,-78,-88,-14,-115,239,429,224,540,550,379,256,99,-99,-122,-96,207,149,255,201,185,241,228,239,60,-52,-2,46,189,283,322,597,816,474,483,541,948,837
0183 Sundbyberg,women,-322,201,-117,518,-124,-324,-505,-240,-188,-64,-135,55,-25,236,504,235,532,626,498,270,232,-19,-234,-137,148,181,144,247,51,140,291,242,39,-118,-57,32,11,230,227,404,827,437,423,713,885,627
0184 Solna,men,30,-551,-39,-279,422,-503,-532,-485,-274,-507,-153,-511,-330,-151,-256,-49,368,161,81,183,206,198,273,309,339,389,103,176,314,369,155,320,227,313,370,522,838,637,827,1138,881,708,984,666,781,661
0184 Solna,women,-73,-438,52,-253,507,-522,-531,-552,-202,-340,-41,-372,-218,-136,-270,-203,452,299,261,331,257,216,288,171,288,261,155,51,217,262,27,297,121,319,39,582,639,505,774,833,739,527,818,681,666,640
0186 Lidingö,men,222,46,-302,-199,6,217,266,92,311,-89,-65,-37,-39,111,91,61,156,197,80,0,-127,-138,-233,22,72,85,204,232,169,231,143,-26,130,181,31,140,208,265,142,226,239,215,103,206,386,183
0186 Lidingö,women,271,-104,-306,-53,79,373,472,136,214,-58,122,37,68,98,51,156,128,213,57,1,-77,-78,-131,63,176,102,283,239,152,308,114,-20,181,116,-29,73,277,164,247,175,95,203,-39,147,358,104
0187 Vaxholm,men,122,35,120,-1,-56,-3,-28,-29,-8,46,-5,-23,566,52,54,43,26,21,33,56,36,50,39,69,189,306,124,81,43,90,90,207,92,87,45,96,104,128,98,93,110,56,92,10,36,66
