region,area
0114 Upplands Väsby,75.09
0115 Vallentuna,358.36
0117 Österåker,312.4
0120 Värmdö,448.03
0123 Järfälla,53.81
0125 Ekerö,217.68
0126 Huddinge,131.01
0127 Botkyrka,194.17
0128 Salem,54.09
0136 Haninge,458.07
0138 Tyresö,69.25
0139 Upplands-Bro,235.47
0140 Nykvarn,152.76
0160 Täby,60.72
0162 Danderyd,26.4
0163 Sollentuna,52.64
0180 Stockholm,187.17
0181 Södertälje,525.15
0182 Nacka,95.12
0183 Sundbyberg,8.67
0184 Solna,19.3
0186 Lidingö,30.8
0187 Vaxholm,57.88
0188 Norrtälje,2016.04
0191 Sigtuna,327.4
0192 Nynäshamn,358.76
0305 Håbo,143.75
0319 Älvkarleby,214.98
0330 Knivsta,282.17
0331 Heby,1166.81
0360 Tierp,1547.78
0380 Uppsala,2182.8
0381 Enköping,1178.5
0382 Östhammar,1475.28
0428 Vingåker,370.27
0461 Gnesta,461.24
0480 Nyköping,1420.84
0481 Oxelösund,35.39
0482 Flen,718.83
0483 Katrineholm,1020.19
0484 Eskilstuna,1099.87
0486 Strängnäs,739.7
0488 Trosa,209.73
0509 Ödeshög,430.42
0512 Ydre,675.42
0513 Kinda,1129.47
0560 Boxholm,525.77
0561 Åtvidaberg,686.62
0562 Finspång,1055.28
0563 Valdemarsvik,733.82
0580 Linköping,1427.44
0581 Norrköping,1495.05
0582 Söderköping,673.85
0583 Motala,983.49
0584 Vadstena,181.84
0586 Mjölby,546.11
0604 Aneby,517.76
0617 Gnosjö,420.58
0642 Mullsjö,200.16
0643 Habo,328.52
0662 Gislaved,1137.08
0665 Vaggeryd,824.94
0680 Jönköping,1480.36
0682 Nässjö,930.29
0683 Värnamo,1216
0684 Sävsjö,679.05
0685 Vetlanda,1500.51
0686 Eksjö,799.48
0687 Tranås,402.66
0760 Uppvidinge,1171.88
0761 Lessebo,412.55
0763 Tingsryd,1044.88
0764 Alvesta,974.19
0765 Älmhult,890.93
0767 Markaryd,517.19
0780 Växjö,1665.51
0781 Ljungby,1747.75
0821 Högsby,751.11
0834 Torsås,468.41
0840 Mörbylånga,666.79
0860 Hultsfred,1121.52
0861 Mönsterås,599.46
0862 Emmaboda,689.7
0880 Kalmar,956.9
0881 Nybro,1171.69
0882 Oskarshamn,1046.62
0883 Västervik,1874.43
0884 Vimmerby,1140.23
0885 Borgholm,678.65
0980 Gotland,3134.05
1060 Olofström,389.79
1080 Karlskrona,1042.21
1081 Ronneby,825.34
1082 Karlshamn,488.68
1083 Sölvesborg,185.31
1214 Svalöv,387.3
1230 Staffanstorp,106.82
1231 Burlöv,18.9
1233 Vellinge,142.61
1256 Östra Göinge,431.96
1257 Örkelljunga,319.55
1260 Bjuv,115.28
1261 Kävlinge,152.56
1262 Lomma,55.52
1263 Svedala,218.05
1264 Skurup,193.58
1265 Sjöbo,492.17
1266 Hörby,419.41
1267 Höör,290.85
1270 Tomelilla,395.94
1272 Bromölla,162.5
1273 Osby,576.24
1275 Perstorp,158.78
1276 Klippan,374.32
1277 Åstorp,92.22
1278 Båstad,209.79
1280 Malmö,156.87
1281 Lund,427.23
1282 Landskrona,140.28
1283 Helsingborg,344.01
1284 Höganäs,150.84
1285 Eslöv,419.06
1286 Ystad,350.08
1287 Trelleborg,339.87
1290 Kristianstad,1246.25
1291 Simrishamn,391.36
1292 Ängelholm,420.06
1293 Hässleholm,1268.53
1315 Hylte,946.08
1380 Halmstad,1014.13
1381 Laholm,882.96
