"region","sex",1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"0114 Upplands Väsby","men",8184,9029,9629,10406,11582,12889,13756,14413,15004,15399,15553,15739,15896,15970,16055,16132,16668,16907,17262,17472,17593,17730,17902,17844,17822,17802,17771,18012,18102,18029,18247,18443,18658,18620,18570,18550,18586,18624,18776,18970,19058,19267,19570,20023,20251,20677,20872
"0114 Upplands Väsby","women",8046,8806,9403,10215,11366,12634,13594,14397,15044,15512,15627,15861,16065,16147,16109,16309,16809,17005,17380,17551,17701,17823,18061,18040,18062,17962,18077,18265,18313,18343,18542,18673,18918,18904,18874,18847,18931,19000,19072,19085,19190,19374,19719,20171,20472,20772,20944
"0115 Vallentuna","men",5850,6257,6495,6814,7053,7306,7423,7573,7912,8179,8610,8736,8945,9270,9557,9633,9723,9860,10031,10282,10490,10908,11159,11254,11386,11565,11671,11735,11813,11924,12085,12287,12600,12769,12909,13105,13423,13641,13899,14209,14460,14663,15041,15362,15621,15815,15964
"0115 Vallentuna","women",5530,5966,6216,6585,6813,7100,7181,7313,7650,7934,8298,8422,8658,8956,9236,9354,9466,9651,9881,10061,10333,10710,11027,11181,11331,11496,11638,11722,11871,11977,12161,12353,12628,12874,12996,13201,13466,13756,13969,14173,14494,14698,15073,15353,15594,15801,16005
"0117 Österåker","men",6929,7434,7916,8553,9408,10068,10709,11523,12130,12465,12715,12823,12996,12606,12754,12900,13149,13417,13697,14067,14464,14831,15416,15672,15935,16095,16279,16290,16542,16720,16849,17059,17331,17626,17865,18181,18559,18746,18975,19095,19347,19592,19807,19946,20235,20389,20705
"0117 Österåker","women",6666,7085,7611,8245,9117,9738,10426,11141,11755,12117,12458,12519,12635,12177,12285,12355,12661,12907,13184,13577,13898,14316,14814,15128,15373,15505,15725,15850,16113,16344,16547,16802,17096,17482,17768,18002,18308,18590,18904,19191,19373,19581,19714,19846,20034,20106,20475
"0120 Värmdö","men",5767,6200,6717,6988,7272,7605,8039,8368,8663,8791,9028,9170,9289,9382,9433,9533,9650,9895,10094,10416,10682,10982,11427,11877,12546,12919,13252,13581,13882,14433,14930,15394,15829,16246,16523,16729,17171,17633,18071,18671,18903,19098,19382,19583,19895,20102,20513
"0120 Värmdö","women",5387,5749,6165,6379,6640,6929,7395,7682,7914,8114,8272,8437,8557,8711,8832,8967,9069,9278,9488,9753,9978,10228,10640,11187,11845,12274,12697,12967,13436,13945,14466,14925,15431,15850,16141,16405,16858,17300,17732,18199,18473,18658,18919,19311,19492,19682,20028
"0123 Järfälla","men",22463,23670,25102,25890,26332,26473,26321,26019,26089,26352,26373,26440,26830,27233,27507,27798,27947,28050,28233,28315,28232,28217,28194,28370,28639,28690,28941,29134,29296,29392,29675,29829,29923,30271,30326,30378,30485,30588,30953,31565,31994,32409,32976,33564,34030,34514,35371
"0123 Järfälla","women",21651,22820,24159,25068,25686,25879,25693,25530,25607,25875,25934,26002,26491,26967,27316,27621,27829,27970,28172,28248,28170,28169,28165,28323,28697,28948,29255,29541,29659,29731,30164,30359,30548,30861,30964,31095,31079,31155,31389,31862,32361,32886,33235,33756,34180,34653,35330
"0125 Ekerö","men",5162,5696,6399,6816,7047,7276,7405,7564,7778,7822,7890,8008,7990,8143,8176,8201,8231,8293,8534,8727,8974,9232,9448,9656,10035,10228,10335,10427,10524,10572,10625,10915,11078,11217,11403,11604,11733,11976,12141,12314,12359,12503,12680,12860,13086,13230,13431
"0125 Ekerö","women",5015,5518,6195,6637,6865,7150,7333,7517,7711,7784,7831,7906,7937,8047,8043,8148,8144,8241,8434,8682,8911,9094,9337,9566,9959,10131,10302,10439,10549,10687,10742,11028,11188,11409,11533,11707,11861,12034,12160,12373,12420,12592,12730,12907,13074,13125,13267
"0126 Huddinge","men",26418,27414,27823,27802,28459,29899,30809,31311,32109,32439,32753,33166,33445,34118,34378,34734,34894,35233,35832,35905,35854,36483,36803,36934,37267,37575,38017,38456,39187,39743,40371,41073,41869,42514,42897,43298,43547,44077,44827,45826,47034,47873,48848,49788,50849,51633,52424
"0126 Huddinge","women",25512,26525,26909,27122,27962,29677,30719,31265,31956,32345,32546,32872,33125,33734,34139,34441,34687,34976,35736,36005,36067,36624,37026,37185,37563,37962,38362,38928,39686,40360,40968,41797,42666,43186,43560,43823,44134,44673,45355,46001,47175,47925,48605,49261,50161,50924,51761
"0127 Botkyrka","men",11079,12128,13536,17067,21787,25489,27406,28836,29424,30396,31233,32319,32700,32729,33071,32701,33025,33135,33429,33612,34007,34059,34252,34431,34833,34621,34491,34669,35271,35309,35422,36025,36468,37065,37611,37692,37913,38305,38871,39695,40298,40951,41755,42941,43740,44495,45155
"0127 Botkyrka","women",10734,11750,13137,16691,21460,25042,27041,28450,29033,30104,31039,32054,32518,32727,32991,32726,32902,33191,33528,33924,34160,34196,34290,34409,34812,34604,34704,34831,35429,35469,35527,36128,36629,37086,37605,37740,37917,38287,38682,39336,39757,40244,40853,41736,42534,43085,43746
"0128 Salem","men",3196,4345,5944,6346,6321,6162,6077,6201,6234,6311,6326,6340,6276,6299,6229,6122,6078,6085,6073,6036,6107,6120,6187,6305,6324,6409,6310,6389,6375,6416,6492,6600,6764,6809,6845,6905,6947,7042,7239,7419,7461,7542,7603,7729,7827,7896,7988
"0128 Salem","women",3219,4350,6007,6441,6529,6406,6295,6502,6551,6669,6669,6634,6603,6606,6546,6348,6328,6285,6274,6242,6240,6252,6291,6402,6484,6554,6437,6482,6552,6631,6684,6874,7002,7030,7030,7152,7180,7292,7476,7646,7716,7771,7788,7965,8054,8105,8152
"0136 Haninge","men",19683,21438,23022,24665,25192,25309,25585,25533,25695,27069,28484,29228,29708,30027,30178,30329,30620,30976,30994,31052,31128,31391,31701,32112,32318,32180,32555,32985,33124,33451,33908,34269,34752,35155,35367,35656,35631,35825,36496,36897,37621,38254,38654,39382,39970,40816,41619
"0136 Haninge","women",18865,20485,21979,23661,24366,24565,24826,24762,25022,26329,27644,28396,28833,29281,29487,29508,29840,30190,30178,30249,30423,30787,31096,31483,31842,31768,32121,32721,32981,33251,33856,34341,34892,35277,35535,35721,35724,36012,36460,36801,37347,37983,38400,38944,39460,40116,40788
"0138 Tyresö","men",11823,12964,13691,14115,14435,14464,14548,14694,15129,15488,15633,15656,15549,15615,15682,15900,16005,16084,16294,16520,16773,16900,16993,17148,17387,17563,17904,18230,18464,18668,18902,19151,19410,19549,19671,19879,20166,20467,20587,20907,21062,21230,21417,21601,21822,22088,22651
"0138 Tyresö","women",11545,12759,13421,13906,14321,14348,14467,14672,14934,15382,15601,15631,15512,15500,15733,15855,16036,16077,16270,16592,16794,16915,16980,17176,17418,17563,18019,18397,18665,18914,19144,19429,19661,19885,20049,20218,20439,20667,20889,21140,21270,21372,21530,21727,21942,22193,22739
"0139 Upplands-Bro","men",3471,4328,5657,6333,6542,6771,7135,7545,7968,8480,9039,9242,9434,9741,9751,9791,9895,9986,9978,10077,10125,10072,10171,10228,10226,10023,10039,10076,10138,10199,10269,10373,10501,10606,10608,10651,10647,10593,10707,11053,11297,11583,11836,12022,12228,12371,12675
"0139 Upplands-Bro","women",3361,4113,5279,5981,6223,6443,6841,7247,7662,8171,8773,8968,9055,9469,9520,9636,9758,9901,9865,9944,9965,9964,10020,10052,10009,9825,9871,9949,10066,10167,10226,10355,10377,10470,10554,10601,10701,10734,10931,11168,11385,11619,11840,11962,12125,12332,12612
"0140 Nykvarn","men",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3908,4002,4098,4137,4169,4211,4230,4245,4392,4531,4596,4692,4755,4750,4806,4863,5015
"0140 Nykvarn","women",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3816,3874,3954,3953,4035,4058,4098,4109,4217,4395,4439,4535,4576,4581,4636,4660,4800
"0160 Täby","men",17937,18617,19071,18992,18975,19395,19884,20312,20919,21751,22151,22680,23168,23575,24144,25038,25989,26714,27106,27396,27751,27876,27973,28072,28352,28681,28984,29090,29372,29539,29778,29778,29710,29692,29647,29627,29712,29829,30018,30346,30612,31086,31441,31884,32304,32780,33288
"0160 Täby","women",18036,18736,19335,19456,19459,19974,20476,20995,21594,22484,23006,23462,23937,24327,24882,25749,26782,27471,27987,28265,28588,28677,28741,28802,28970,29311,29702,29743,30073,30275,30496,30522,30487,30537,30551,30541,30710,30765,30988,31287,31654,31928,32348,32674,33060,33512,34046
"0162 Danderyd","men",13469,13410,13214,13064,13287,13238,13115,12988,12957,13139,13147,13258,13280,13239,13396,13498,13575,13716,13683,13754,13597,13435,13290,13306,13301,13513,13694,13712,13821,14066,14252,14284,14213,14307,14434,14408,14526,14628,14754,14878,14887,15011,15150,15352,15444,15600,15728
"0162 Danderyd","women",14598,14645,14409,14212,14476,14408,14245,14180,14156,14316,14375,14464,14562,14523,14692,14774,14909,14990,14962,15038,14928,14783,14625,14514,14508,14732,14941,14972,15060,15274,15387,15352,15357,15325,15321,15476,15574,15598,15738,15911,15964,16139,16180,16447,16516,16622,16567
"0163 Sollentuna","men",17755,18176,18830,19317,19757,20479,21116,21488,22003,22355,22548,22575,22574,22720,22971,22939,23390,23725,24359,24481,24745,24926,25304,25505,25828,26102,26480,26822,27325,27747,28158,28395,28600,28740,28928,29106,29136,29348,29936,30406,30855,31517,32159,32777,33335,33897,34511
"0163 Sollentuna","women",17749,18234,18893,19428,19944,20710,21399,21925,22582,22891,23138,23289,23294,23371,23662,23808,24197,24487,25065,25276,25497,25680,26073,26285,26607,26966,27417,27731,28151,28547,28909,29215,29448,29526,29587,29778,29761,30007,30592,30981,31242,31830,32471,33114,33524,34248,34814
